@relation finished-data
@attribute tweets string
@attribute feeling{Negative,Positive}

@data
'Biz anca þimdi yatabiliyoruz sevgilim. Mutlu rüyalar, seni çok seviyorum!',Negative
'Cengýz Kurtoglu - Elveda Sevgilim via insanýn ayrýlýp acý çekesi geliyor , Allahtan ayrýlacak kimse yok',Negative
'Bir sevgilim olsa giderim balayýna ?? Ah bi de bekarsa giderim alayýna ??',Positive
'Sevgilim erkek erkeðe tabi ki bir yerlere gidebilir mesela kahveye.',Negative
'Köprücük kemiðimde uyu sevgilim',Positive
'Matematik gibisin sevgilim ikinizden de bi b*k anlamýyom',Positive
'Yakýsýklý bi sevgilim olsa ne guzel olurdu??????????',Positive
'Eeee sevgilim ne haltlar yiyo diye gözatmalý tabii',Positive
'Sevgilim tabiiki erkek erkege bi yere gidebilir mesela hali saha macina ??',Negative
'Sevgilim bugün olmaz dediðinde ben',Negative
' Sevgilim',Negative
'Sevgilim olsun saçlarýmý taratýcam ??',Negative
'Bir gün Gidersen sevgilim, ki ben severek ayrýlýða inanmam gidebiliyorsan eðer hiç düþünme, git. Ýnan senin yerinde olsam ben de giderim.',Negative
'Aklýnda bulunsun sevgilim; sen beni kandýrmadýn, ben inanmayý seçtim. --Can Yücel',Negative
'Güzelsin sevgilim. Ama çok yakýndan. --Cemal Süreya',Negative
'Bir gün Gidersen sevgilim, ki ben severek ayrýlýða inanmam gidebiliyorsan eðer hiç düþünme, git. Ýnan senin yerinde o…',Negative
'Sevgilim bugün olmaz dediðinde ben',Negative
'Ilerde sevgilim olursa profile ikimizin resmini koymayacaðým, o bizim resmimizi koysun amk.',Positive
'UyumuyorumÇünkü hem sevgilim öküz hem arkadaþlarim ruhsuz hiç þans yok gel de uyu ????????',Negative
'Þu uykusuz geceler de hep senin yüzünden sevgilim.',Negative
'Sevgilim yok kimseyi sevmiyorum diye ilan etmem mi gerek :) ?',Negative
'Buda benim kaþar kankam sevgilim',Positive
'Bir gün Gidersen sevgilim, ki ben severek ayrýlýða inanmam gidebiliyorsan eðer hiç düþünme, git. Ýnan senin yerinde o…',Negative
'Benim caným sevgilim iyiki varsýn',Positive
'Bir gün Gidersen sevgilim, ki ben severek ayrýlýða inanmam gidebiliyorsan eðer hiç düþünme, git. Ýnan senin yerinde o…',Negative
'Sevgilim bugün olmaz dediðinde ben',Negative
'uyusan iyi olur sevgilim sabah ciceklikoye kahvaltiya gidecegiz sana koy ekmegiyle bal kaymak yedirecegim uyu sevgilim??',Positive
'Bir gün Gidersen sevgilim, ki ben severek ayrýlýða inanmam gidebiliyorsan eðer hiç düþünme, git. Ýnan senin yerinde o…',Negative
'Benim sevgilim bu saatte eve gelicek ben biþey demicem yok öyle bi dünya.',Positive
'Sevgilim de acildikca ????açýlýyor ????',Negative
'Unut Beni Sevgilim , Ben Unutmuyorum ???',Negative
'+bitanem -aþkým +caným -sevgilim +bi efendim desene amk',Negative
'Sevdiðim biri yok, hoþlandýðým biri yok, unutamadiðim bi eski sevgilim yok ! Maþallah bende de yok yok',Negative
'Kisa kizlarn kendini teselli si benm eski sevgilim 1 97 ydi ahahhahhaha .. ????',Positive
'Bir gün Gidersen sevgilim, ki ben severek ayrýlýða inanmam gidebiliyorsan eðer hiç düþünme, git. Ýnan senin yerinde o…',Negative
'Bir gün Gidersen sevgilim, ki ben severek ayrýlýða inanmam gidebiliyorsan eðer hiç düþünme, git. Ýnan senin yerinde olsam ben de giderim.',Negative
'Þansým.. Umudum.. Heycaným.. Ýçimi titretenim.. Ömür yarým.. Sevgilim.. Meleðim.. Ne güzel kelimeler deðil mi ? Bolca kul…',Negative
'Bir gün Gidersen sevgilim, ki ben severek ayrýlýða inanmam gidebiliyorsan eðer hiç düþünme, git. Ýnan senin yerinde olsam ben de giderim.',Negative
'Sahiplenen kýz/erkek tutuþu tamamen güven eksikliði sebebi. Millete sevgilim var demeye mi çalýþýyorsun yoksa gerçekten seviyor musun',Positive
'Tabiki benim sevgilim arkadaþlarýyla beraber bir yerlere gidebilir mesela askere',Positive
'yaramý sardýðýn yerden öldürmek güzel fikirdi sevgilim, kabul et..',Negative
'Ey tecelliyatý Gül Sevgilim Her tecelliyatta seni sevdim Gül Sevgilim Sen zengin ben fakirim Sevgilim Ýki gözüm sende artýk Gül sevgilim',Positive
'Kimse kusura bakmasýn ama sevgilim babamýn izin verdiði þeylere karýþamaz abi o nasýl saçmalýktýr öyle ya',Positive
'Ve elbette ki sevgilim, Elbet dolaþacaktýr en þanlý elbisesiyle; iþçi tulumuyla bu güzelim memlekette hürriyet..',Negative
'Nikahýna beni cagýr sevgilim nasil dul kaldýgýna sahidin olurum senin',Positive
'Bana tapan ve avuç içlerimi sürekli öpen bir sevgilim var, ben gerçekten çok þanslýyým :)',Positive
'Eski sevgilim kýskandýrmaya çalýþýnca ben',Positive
'Bir gün Gidersen sevgilim, ki ben severek ayrýlýða inanmam gidebiliyorsan eðer hiç düþünme, git. Ýnan senin yerinde o…',Negative
'Bir gün Gidersen sevgilim, ki ben severek ayrýlýða inanmam gidebiliyorsan eðer hiç düþünme, git. Ýnan senin yerinde o…',Negative
'Bir gün Gidersen sevgilim, ki ben severek ayrýlýða inanmam gidebiliyorsan eðer hiç düþünme, git. Ýnan senin yerinde o…',Negative
'Unut Beni Sevgilim , Ben Unutmuyorum ???',Negative
'Bakire sevgilim gece gece benim icin fotograf cekmiss ??',Positive
'Bakire sevgilim sabah sabah bu fotoyu attii . Orospum benimm ??',Positive
'Eeee sevgilim ne haltlar yiyo diye gözatmalý tabii',Positive
'Bir gün Gidersen sevgilim, ki ben severek ayrýlýða inanmam gidebiliyorsan eðer hiç düþünme, git. Ýnan senin yerinde o…',Negative
'Sevgilim yok ama onun yerine sarý lacivert diþ tellerim var',Negative
'Mesela ben hiç telefonu efendim sevgilim diye açmadým, genelde ne var hýyar diye açarým. Ondan kaybediyorum sanýrým',Positive
'BestFandomCA2015 ELF zaten benimde sevgilim yok sjsjdj',Positive
'BestFandomCA2015 ELF sevgilim mesaj atsa bu kadar heyecanlanmam be',Positive
'Mesela 1 yýllýk sevgilim var ama saplar üzülmesin diye aþklý tivit atmýyorum, böyle de iyi insanýmdýr',Positive
'Sevgilim bugün olmaz dediðinde ben',Negative
'Sevgilim yok ama þarjým var??',Negative
'Bir gün Gidersen sevgilim, ki ben severek ayrýlýða inanmam gidebiliyorsan eðer hiç düþünme, git. Ýnan senin yerinde o…',Negative
'Saf sevgilim dereleri geçtin susuz mu döndün dost dediðin arkandan vurdu kalbura döndün :D :D',Positive
'Bir gün Gidersen sevgilim, ki ben severek ayrýlýða inanmam gidebiliyorsan eðer hiç düþünme, git. Ýnan senin yerinde o…',Negative
'Bir gün Gidersen sevgilim, ki ben severek ayrýlýða inanmam gidebiliyorsan eðer hiç düþünme, git. Ýnan senin yerinde o…',Negative
'Bir gün Gidersen sevgilim, ki ben severek ayrýlýða inanmam gidebiliyorsan eðer hiç düþünme, git. Ýnan senin yerinde o…',Negative
'Bir gün Gidersen sevgilim, ki ben severek ayrýlýða inanmam gidebiliyorsan eðer hiç düþünme, git. Ýnan senin yerinde o…',Negative
'Bir gün Gidersen sevgilim, ki ben severek ayrýlýða inanmam gidebiliyorsan eðer hiç düþünme, git. Ýnan senin yerinde o…',Negative
'Bir gün Gidersen sevgilim, ki ben severek ayrýlýða inanmam gidebiliyorsan eðer hiç düþünme, git. Ýnan senin yerinde o…',Negative
'Bir gün Gidersen sevgilim, ki ben severek ayrýlýða inanmam gidebiliyorsan eðer hiç düþünme, git. Ýnan senin yerinde o…',Negative
'Bir gün Gidersen sevgilim, ki ben severek ayrýlýða inanmam gidebiliyorsan eðer hiç düþünme, git. Ýnan senin yerinde o…',Negative
'Bir gün Gidersen sevgilim, ki ben severek ayrýlýða inanmam gidebiliyorsan eðer hiç düþünme, git. Ýnan senin yerinde o…',Negative
'Bir gün Gidersen sevgilim, ki ben severek ayrýlýða inanmam gidebiliyorsan eðer hiç düþünme, git. Ýnan senin yerinde o…',Negative
'Bir gün Gidersen sevgilim, ki ben severek ayrýlýða inanmam gidebiliyorsan eðer hiç düþünme, git. Ýnan senin yerinde o…',Negative
'Bir gün Gidersen sevgilim, ki ben severek ayrýlýða inanmam gidebiliyorsan eðer hiç düþünme, git. Ýnan senin yerinde o…',Negative
'Bir gün Gidersen sevgilim, ki ben severek ayrýlýða inanmam gidebiliyorsan eðer hiç düþünme, git. Ýnan senin yerinde o…',Negative
'Bir gün Gidersen sevgilim, ki ben severek ayrýlýða inanmam gidebiliyorsan eðer hiç düþünme, git. Ýnan senin yerinde o…',Negative
'Bir gün Gidersen sevgilim, ki ben severek ayrýlýða inanmam gidebiliyorsan eðer hiç düþünme, git. Ýnan senin yerinde o…',Negative
'Bir gün Gidersen sevgilim, ki ben severek ayrýlýða inanmam gidebiliyorsan eðer hiç düþünme, git. Ýnan senin yerinde o…',Negative
'Bir gün Gidersen sevgilim, ki ben severek ayrýlýða inanmam gidebiliyorsan eðer hiç düþünme, git. Ýnan senin yerinde o…',Negative
'Bir gün Gidersen sevgilim, ki ben severek ayrýlýða inanmam gidebiliyorsan eðer hiç düþünme, git. Ýnan senin yerinde o…',Negative
'Bir gün Gidersen sevgilim, ki ben severek ayrýlýða inanmam gidebiliyorsan eðer hiç düþünme, git. Ýnan senin yerinde o…',Negative
'Her gece yeniden doðalým mý sevgilim?',Negative
'Sevgilim olunca ben...',Negative
'Bi sevgilim olsunda enes alperi paylaþayim onunla þarkýmýz olsun kimseyle paylaþmadým??',Positive
'Anla beni ve tut elimi… Yürüyelim birlikte bu sevdanýn yolunda. Bu aþk bize çok yakýþýyor sevgilim. Yakýþaný üzerinde…',Negative
'Sevgilim klip bizden ???????? Büyükçekmece Nispet',Negative
'Gel sevgilim gel, benim dünyama gel çok zaman var içimde yerini hazýrladým. --Attila Ýlhan',Positive
'??ki sevgilim ??ki gözlerin solmasin sakýn aþk cicegin',Positive
'Sevgilim Bu Kim ? Kamera Þakasý aracýlýðýyla',Negative
'Sevgililik Þiiri Sevgilim sevgilim sevgilim Hergün onu severim Sevgilim sevgilim sevgilim Baþkasýna baksam kendimi döverim.…',Positive
'bir kentin meydaný bir mahpusun isyaný slogan atarken yanýmda Gezi kadýným direniþim býrakýp gitmezsin yazgým sen benim sevgilim,belalýmsýn',Negative
'Eeee sevgilim ne haltlar yiyo diye gözatmalý tabii',Positive
'Eheeey tabiki sevgilim yok o nasý bi soru',Positive
'Türkçülük günümü kutlamak için mesaj atan bir sevgilim olmadý ki hiç birlikte yaþlanalým',Positive
'Seni düþünüyorum geceleri yatamaz oldum sevgilim seni unatamýyorum benimle evlenirmisin',Positive
'sevgilim olsun istiyorum',Positive
'Beþiktaþlý bi Sevgilim olsun Beþiktaþ Meydanda Baðýrarak Beste Soyliyelim :D',Negative
'çünkü yok sevgilim þunu yaptý yok eþim böyle yok iþte bunu yaþadým çok fazla sorumluluk çok bunaltýcý. Ulan ben niye büyüdüm?',Negative
'Sevgilim uyuma konuþalým',Negative
'Sevgilim kiskanirlar, yalanlar anlatirlar :dddd',Negative
'sevgilim olsun istiyorum',Positive
'Sevgilim þuan alkol alýyor biraz sonra sarhoþ olacak',Positive
'Seni düþünüyorum geceleri yatamaz oldum sevgilim seni unatamýyorum',Positive
'Sen birinin gülüþüne aþýk olmak nedir bilir misin sevgilim? ????',Positive
'Sevgilim bugün olmaz dediðinde ben',Negative
'ayni sinif ayni okul ayni sehir hatta ayni ülkede sevgilim yok aq',Positive
'Eski sevgilim vatsaptan beni engellemiþ çünkü fotoðrafýný gördükçe daha fazla üzülmemi istemiyor. Beni düþünüyo çünkü hâlâ b…',Positive
'ben de seni sevgilim ..',Positive
'þunu bi yüzüme yüzüme söylesene boðulur gibi yeniden her gece her gece doðalým mý sevgilim',Positive
'bende seni sevgilim',Positive
'Sevgilim olacak kýz çok anlayýþlý olmalý.Ben leb demeden o Çorum diyebilmeli..',Negative
'Sevgilim diye demiyorum, hiç yoktur kendisi.',Negative
'Hadi koþ bana, yarýnlarýmýza sevgilim.',Negative
'Seni seviyorum sevgilim??',Negative
'iyi ki varsýn sevgilim :)',Positive
'iyi ki varsýn sevgilim :)',Positive
'Keþke Ayaz gibi bir Sevgilim olsa...',Negative
'Sa walter white baðcýlar minibusunde hayat ve ben temsili sevgilim trip atýnca ben bu ne mutluluk aq altý üstü patatessin.',Positive
'Sevgilim ne zaman kavuþacaðýz... np Zeki Müren - Elbet Bir Gün Buluþacaðýz',Negative
'AcabaBenimle bayýk bayýk konuþmadan þen þakrak konuþacak bi sevgilim olacak mý?? - HAYIIIIIIR :/',Positive
'Sevgilim olmasýna gerek yok, kýskanýyorsam benimdir.',Negative
'Anla beni ve tut elimi… Yürüyelim birlikte bu sevdanýn yolunda. Bu aþk bize çok yakýþýyor sevgilim. Yakýþaný üzerinden çýkarma…',Negative
'Basini gogsume sakla sevgilim...',Negative
'O benim sadece sevgilim deðildi doktorumdu oðlum',Positive
'Baþýný göðsüme yasla sevgilim Seviþen yaramaz çocuklar gibi Stop',Positive
'Sevgilim diye demiyorum, hiç yoktur kendisi.',Negative
'Gülsene sevgilim; inanç yaratýyorsun bende.',Negative
'Bir gun iliski durumumu sevgilisinin kalbinde calisiyor yazacak ergenligi bana yasatacak sevgilim olacak mi acabaaaa :p',Positive
'Sevgilim, bir günün ortasý þimdi. Taþýtlar hýzla gelip geçiyor, her yer kalabalýk, Ben seni düþünüyorum bir bodrum kahvesi…',Negative
'Sevgilim gerçek þu benim deðilsiin.',Negative
'Annemin bildiði benim bilmediðim bi sevgilim var.',Positive
'Sevgilim bugün olmaz dediðinde ben',Negative
'Ooo sevgilim uyumamýþ hala',Positive
'Eski sevgilim beni engellemiþ fayy anasýný sjsjsjja',Positive
'Sevgilim varken kýzlara daha bi çekici görünüyordum sanýrým :)',Negative
'Ooo sevgilim uyumamýþ hala',Positive
'Sevgilim falan yok anlayýn þunu.',Negative
'Bu kez kemiklerimi kýr ve sevgilim siktir et kalbimi',Positive
'Ýþteee size SebSel selfiesi.. EnGüzelHediyemiz olsun dimi sevgilim O????',Positive
'þu yaþ tahmin uygulamasýný yaptým: ben gamlý hazan sense bahar çýktýn sevgilim',Positive
'uzun zamandýr hasret kaldýðýn yüzüme kargalar demin sýçtý sevgilim, üzgünüm..',Negative
'Sevgilim iyiki doðdun nice mutlu birlikte yýllara seni çok seviyorum ¦¦',Positive
'Gel sevgilim gel, benim dünyama gel çok zaman var içimde yerini hazýrladým. --Attila Ýlhan',Positive
'sevgilim olsa gider beraber çiðköfte falan yerdik amk öyle gül döküp romantiklik yapmakta neymiþ',Positive
'Sevgilim aradýgýnda radyasyondan gebersem de o telefonu kapatmam',Negative
'caným sevgilim unut onu??????????????????????',Positive
'Elveda, elveda sevgilim git ve kendine baþka aþklar ara baþka kapýlarý çal tutkulu baþka bir aþký bekle benim...',Positive
'benim sevgim deðil sevgilim basitti........',Positive
'Artýk benimde kavga edeceðim sevgilim olmalý.Ama ilk sevgili lazým',Positive
'Bu saate kadar oturuyorum bari sevgilim olsa aq.',Positive
'Sevgilim yok ama þarjým var??',Negative
'seni sevdimya unatamam artýk sevgilim seni çok seviyorum herþiyimsin aþkým senden ayrýlamam sen eþimsin sevgilimsin aþkýmsýn',Positive
'..hala seviyorken bir gece kapýný aç bana sevgilim. Al koynuna, bir dal fesleðen tak saçlarýma.',Negative
'Eðer sevgilimle yaðmurda ýslanmazsam gözüm açýk giderim daha kötüsü bir sevgilim olmazsa ??',Positive
'Güzelsin sevgilim. Ama çok yakýndan. --Cemal Süreya',Negative
'Sevgilim bugün olmaz dediðinde ben',Negative
'Dünyaya bir daha gelsem sevgilim, arar bulurum yine seni severim.',Negative
'Artýk benimde kavga edeceðim sevgilim olmalý.Ama ilk sevgili lazým',Positive
'Sevgilim bugün olmaz dediðinde ben',Negative
'Mafya sevgilim olcagina enistecigim bile yurekten inanmis',Positive
'Yanlýz im demek sevgilim yok demektir hayýrlý olsun',Positive
'þu yaþ tahmin uygulamasýný yaptým: ben gamlý hazan sense bahar çýktýn sevgilim',Positive
'Son sevgilim ilk yarim can bildiðim vefalý sevdiðimsin',Positive
'Sevgililik Þiiri Sevgilim sevgilim sevgilim Hergün onu severim Sevgilim sevgilim sevgilim Baþkasýna baksam kendimi döverim.…',Positive
'þu yaþ tahmin uygulamasýný yaptým: ben gamlý hazan sense bahar çýktýn sevgilim',Positive
'Güzelsin sevgilim. Ama çok yakýndan. --Cemal Süreya',Negative
'suankidinledigimsarký Gülben Ergen-Aþkla Ayný Deðil aþk acýsý çekecek sevgilim olmadýðýndan eski hatalarýmla depresyona giriyorum ??',Positive
'Þimdi sevgilim var sanacaklar gerçi bir bakýma öyle sjskskjskdn',Positive
'Sevgilim yok arada köpeðim dudaklarýmý yalýyor sayýlýr mý',Negative
'Buda gecenin en tatli süprizi, canim sevgilim :*',Positive
'Tüm güzel yýldýzlar senin içi parlýyor sevgilim ???????????????????????',Positive
'seni çok seviyorum iyiki varsýn sevgilim iyi geceler',Positive
'Eski sevgilim ilk hatayý sen yaptýn diyor. Ulan bi kere hatay 1946 yýlýnda kuruldu. Ben yoktum bile. Ýyiki ayrýlmýþým tam bir yalancýymýþ',Positive
'eski sevgilim mesaj atinca bn',Positive
'Uzaksýn artýk, hiç olmadýðýn kadar uzak, hiç olmadýðýn kadar yabancýsýn bana! Gittin sevgilim! Ben acýyarak terk ettiðin bir þizofrendim!',Negative
'Bi keresinde eski sevgilim çýkmaya baþladýktan 3 dakika sonra facebook þifremi vermedim diye benden ayrýlmýþtý jdlxlþdkfpgþfðglglfpfdþkdþkdf',Positive
'Caným ben hiç öpmeyeyim eski sevgilim yeni manitasýyla fotoðraf atmýþ',Positive
'yalan be benim eski sevgilim yok',Positive
'Gel sevgilim gel, benim dünyama gel çok zaman var içimde yerini hazýrladým. --Attila Ýlhan',Positive
'Sevgilim bugün olmaz dediðinde ben',Negative
'LAN SEN NE DÝYORSUN AMK BENÝM SEVGÝLÝM O ÝT HERÝF AÐZINI TOPLA',Negative
'Sevgilim erkek erkeðe tabi ki bir yerlere gidebilir mesela askere.',Negative
'elbet be sevgilim',Positive
'Hayat bize güzel bee sevgilim ?? (@ Çatý Katý ??)',Positive
'Þimdi sevgilim var sanacaklar gerçi bir bakýma öyle sjskskjskdn',Positive
'of sevgilim olsaydý simdi uyuz ederdim',Positive
'Eski sevgilim olan adamlar öldü mezarlýk ziyareti yapmaktan gýna geldii',Positive
'Sevgilim þöyle bir þeyle gelse iki sen salonda yatarým yine o yatakta uyumam.',Negative
'Çok kadýn öldü benim sevgilim olan...',Positive
'son 2 yýldýr hiç sevgilim yok, aþýk olduðum kadýn sayýsý 1 keþke bende sizler gibi her önüme geleni hayatýma sokabilsem.',Positive
'Yaþamak sevgilim seninle güzel',Positive
'Anne gülüyorum ama sevgilim yok valla twitterdayým gel bak istersen',Positive
'naber sevgilim otelde seviþelimmi',Positive
'Çok kadýn öldü benim sevgilim olan',Positive
'O yesil bizdik sevgilim BestFandomCA2015 ELF',Positive
've senin dudaklarýnda biriken kuruluk sevgilim bu yazdandýr',Positive
'bi aileye bi tane geri zekali yeter manzara fotosunu ben cekmeliyim sevgilim ise ben fotograf cekerken beni seyretmeli napiyo…',Negative
'aklýma gelmiþken benim sevgilim yok',Positive
'Evimizin ilk eþyasý caným sevgilim benim nasýlda zevkli ???? ????????',Positive
'O yesil bizdik sevgilim BestFandomCA2015 ELF',Positive
'Sevgilim bugün olmaz dediðinde ben',Negative
'Konuþurken uyuya kalan bi sevgilim var ya süper',Positive
'Gitsin, harcansýn bazý þeyler. Sen dur. TurgutUyar Dogum günün kutlu olsun sevgilim ??',Positive
'sevgilim kendi çekmiþti bu fotolarý,bilmezki 10 binden fazla kiþi gördü bu amý bu götü....',Positive
'Manyak sevgilim diyiþini yeroom',Positive
'Bir gün Gidersen sevgilim, ki ben severek ayrýlýða inanmam gidebiliyorsan eðer hiç düþünme, git. Ýnan senin yerinde o…',Negative
'Sevgilim bugün olmaz dediðinde ben',Negative
'Hatta bir çocuða seni seviyorum sevgilim olsana demiþliðim var çok rahatým jdjdjdjd',Positive
'En heyecanlý þey ne biliyor musun sevgilim? Tanýdýk çýkma korkusuyla tutmak o elini.',Negative
'Köprücük kemiðinle , boynunun arasý benim yerim sevgilim.',Negative
'elbet be sevgilim',Positive
'Ben bugün her þeyi kabullendim,hoþçakal sevgilim...',Negative
'ol sevgilim ol &lt;3',Positive
'Resmen sevgilim tweetlerimi favlýyo ama whatsapptan beni takmýyo',Positive
'Sevgilim bugün olmaz dediðinde ben',Negative
'Sevgilim bugün olmaz dediðinde ben',Negative
'Typerý olan bi sevgilim olsun 306 gtiyla durup durup geçeyim :D',Positive
'Yaðmur yaðýyor, elektrik yok böyle zamanda sevgilim yanýmda deyilse hepinize küfrederim',Positive
'Saçlarýmý sevgili sevgilim istediði için kestirdim. Piþman mýyým evet çok ??',Positive
'O yesil bizdik sevgilim BestFandomCA2015 ELF',Positive
'O yesil bizdik sevgilim BestFandomCA2015 ELF',Positive
'Ve elbette ki sevgilim, Elbet dolaþacaktýr en þanlý elbisesiyle; iþçi tulumuyla bu güzelim memlekette hürriyet.. Nazým H…',Negative
'DOÐUM GÜNÜN KUTLU OLSUN NÝCE ÞAMPÝYONLUKLARA ASIRLIK SEVGÝLÝM????',Negative
'O yesil bizdik sevgilim BestFandomCA2015 ELF',Positive
'Anne gülüyorum ama sevgilim yok valla twitterdayým gel bak istersen',Positive
'Aklýnda bulunsun sevgilim; sen beni kandýrmadýn, ben inanmayý seçtim. --Can Yücel',Negative
'Anasýný satýyým efkarlý þarkýlar dinleye dinleye ruhumu karartmýþým meyerse sevgilim yokmuþ terkde edilmemiþim mutluymuþum aga',Negative
'Artýk sevgilim yok buna saplýk mý denir alýþmak mý ?',Positive
'Benim sevgilim iyidir. Kötü olsa benim sevgilim olmazdý',Positive
'bir þey soracaðým. neden tek taraflý çýkamýyoruz? illa anlaþýp tamam biz sevgiliyiz demek mi lazým? bence benim sevgilim var, evliyim hatta.',Positive
'Bu gece de tek sevgilim BURSASPOR.',Positive
'Sevgili olunca ayrilacaz diyor sonra diyorki sevgilim olunca bnim haytima karisirsin hay amkk',Positive
'Aramýz hep böyle olsun sevgilim :d',Positive
'çocuðum olan alnýný sevgilim olan aðzýný dostum olan ellerini unutamadým??',Negative
'Sevgilim bugün olmaz dediðinde ben',Negative
'Uykulu gözlerinden öpyorumm ey sevgilim.',Negative
'Güzelsin sevgilim. Ama çok yakýndan. --Cemal Süreya',Negative
'Gel sevgilim gel, benim dünyama gel çok zaman var içimde yerini hazýrladým. --Attila Ýlhan',Positive
'her halinle; çok güzelsin, hep güzelsin, bu dünyada benim için sevgilim en güzelsin?????',Positive
'Sevgilim varken diðer kýzlara bakýþým',Negative
'Figen Genç - Nazende Sevgilim aracýlýðýyla',Negative
'Kusura bakma Andrey hiç yakýþýklý deðilsin!Benim sevgilim senden yakýþýklý omooooo!!!..Gördük!(gülen çizgi göz) ElinOð…',Positive
'Sevgilim bugün olmaz dediðinde ben',Negative
'Sanki sevgilim Erasmusla Hollandaya gitmiþ gibi bi sýkýntý var içimde .',Positive
'En son sevgilim olduðunda regaip kandili 14 þubata denk gelmiþti kýza hediye diye kandil simiti almýþtým benden ayrýlmýþtý aQ',Positive
'ADANA KONSERÝNDEN :) Cenk Taner - Her Þey Sermaye için Sevgilim Live aracýlýðýyla',Negative
'hayýr müzik yapsýn tabi de niye bizi üzdü ben üzüldüm o zaman toydum çömeldim aðladým sevgilim teselli etti seviþtik seks teoman',Positive
'Deli gibi sarýmý özledim. Sevgilim olsa bu ladar özlemem. Can kardeþ olmak bunu gerektiriyor. ?',Positive
'uykucu sevgilim benim ^^',Positive
'Levent Yüksel- Bu Gece Son gün gelir sevgilim acýya alýþýrsýn',Positive
'Kusura bakma Andrey hiç yakýþýklý deðilsin!Benim sevgilim senden yakýþýklý omooooo!!!..Gördük!(gülen çizgi göz) ElinOðlu',Positive
'Yaþamak ümitli iþtir, sevgilim.Yaþamak: Seni sevmek gibi ciddi iþtir. DiktatörCHP FaþistHDP',Negative
'Öðlen sýnavý erken bitince çýkýp bizim okula gelen bi sevgilim var ben napim yemek yemeyi',Positive
'Cengýz Kurtoglu - Elveda Sevgilim - Doksanlar Dizisi aracýlýðýyla',Negative
'ne eski sevgilim bana laf soktu ne ben ona. gereksiz samimiyetlere girmeden ayrýldýk dkfkdkfj gizlilik sözleþmemiz vardý',Positive
'Aklýnda bulunsun sevgilim; sen beni kandýrmadýn, ben inanmayý seçtim. --Can Yücel',Negative
'Ýþine geldiði gibi yaþanmaz sevgilim attýðýn adýmlar yanlýýýþ',Positive
'Sen sokaða çýkma sevgilim, Sonra þiir sokakta diyolar',Negative
'sevgilim gerçek þu benim deðilsin',Positive
'elbet be sevgilim',Positive
'elbet be sevgilim',Positive
'Unutan sen ol sevgilim ben yeminliyim unutmamaya',Positive
'elbet be sevgilim',Positive
'Sevgilim bugün olmaz dediðinde ben',Negative
'Sen ister dostum ol ister sevgilim, yeter ki hayatýmda ol. Senden baþka hiçbir isteðim yok.',Negative
'bu gece gördüðünüz gibi: Ýrlanda Prensesiyim Aslen Finlandiyalýyým Reykjavikte yaþýyorum Sevgilim Türk ARV',Negative
'bugun de hicbir sosyal agda hesabi bulunmayan bi sevgilim olmadi neyse yarin olur insallah',Positive
'Kiz demis o kiz kim cocuk demis eski sevgilim sonra kiz demis ne kadar eskici bir cocuk',Positive
'elbet be sevgilim',Positive
'ne alaka yar demek sevgilim demek kappe',Positive
'2 sene önce tam da bu zamanlarda unut beni sevgilim ben unutmuyorum demiþiz. Sahi o günden bugüne neler deðiþti neler ayný kaldý?',Positive
'ne alaka yar demek sevgilim demek kappe',Positive
'Kiz demis o kiz kim cocuk demis eski sevgilim sonra kiz demis ne kadar eskici bir cocuk',Positive
'elbet be sevgilim',Positive
'Sevgilim arkadaþlarýyla gece takýlabilir ben bunda bi sakýnca görmüyorum sonuçta ölüm Allahýn emri',Negative
'Bi lafýyla hayal dünyasýnýn en güzel köþelerinde en güzel mutluluklarý yaþatan biricik sevgilim',Positive
'eski sevgilim beni terk ettikten sonra sosyal medya hesaplarýndan indie müziðe laf sokmalý þeyler yazmaya baþlamýþtý asdfasdfgh',Positive
'Sevgilim bugün olmaz dediðinde ben',Negative
'elbet be sevgilim',Positive
'Her sabah senin günaydýn sevgilim mesajýný gördüðümde seni ne çok sevdiðim aklýma gelir, sevinirim. Sevdiðime, âþýk olduðuma...',Positive
'gel bana çikolata sevgilim ben seni sevdiiikçe severim , gel bana limonata þekerim ben seni sevdikçe severim',Positive
'arkadaslar sevgilim olsa bana bundan yapsa bi paket sigara iki tane nescafe alsaydin ne bu kadar para harcadin derdim',Positive
'Benimde sevgilim var---&gt;',Positive
'elbet be sevgilim',Positive
'Sevgilim uyuduðuna göre arv bilaee??',Negative
'Olabilmek. Olabilemedin, koyu parýltýlý gözlü sevgilim benim. Ben vardým; sen, kendini yok etmeyi seçtin. Oruç Aruoba',Positive
'Ya þaka yapmýyorum neden kýz sevgilim olduðuna kimse inanmýyor',Positive
'benimde fotuðraflarýmý çek sevgilim beni nasýl beðenir böyle mi beðenir yoksa þöyle mi pozlarý vermek istiyorum akhskjsdskj',Positive
'Sensizlik beni bitirdi desem Yýkýldým sevgilim kaldýrýr mýsýn',Positive
'lan benim sevgilim',Positive
'Anneme Saatlerdir telefonum kapalý sevgilim 50 kere aramýþtýr. dedim. Senin sevgilin yok ki. dedi.',Positive
'Sevgilim bugün olmaz dediðinde ben',Negative
'Ah Sevgilim, aramizda bir igne beni sana dikiyor',Negative
